id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6778203,FOREST SUITE (Mirante da Floresta),35402771,Ivan,Tijuca,-22.9346,-43.23545,Entire home/apt,643,2,1,2016-01-02,0.02,1,364
6783812,Condominio tipo resort na barra,2294546,Augusto,Barra da Tijuca,-22.98855,-43.353190000000005,Private room,200,2,2,2020-01-04,0.03,2,358
6792157,"Estilo, conforto e privacidade",35554426,Cristiane,Lagoa,-22.96434,-43.203340000000004,Entire home/apt,829,2,27,2020-12-15,0.51,1,15
6796511,Charming Studio in Copacabana,10607843,Rio Hosting,Copacabana,-22.96337,-43.17473,Entire home/apt,308,7,115,2020-10-21,1.76,8,183
6798367,Great location! Perfect for family!,18805586,Luís,Gávea,-22.97612,-43.23305,Entire home/apt,1000,2,17,2020-02-26,0.28,1,179
6799395,Sunny Ipanema,35584421,Maria Do Socorro,Ipanema,-22.98607,-43.21389,Entire home/apt,786,2,110,2020-11-22,1.67,1,191
6820673,Lovely apartment in Santa Teresa,52353370,Geisa,Santa Teresa,-22.91599,-43.18092,Entire home/apt,165,10,5,2020-11-27,0.08,1,63
6828630,"Estúdio Loft, Frente Vista para a Praia e  Cristo!",17083312,Jacqueline,Copacabana,-22.96976,-43.18179,Entire home/apt,546,3,131,2020-12-14,2.03,3,314
6835027,Quarto Confortável,35810066,Deise,Jardim Botânico,-22.95978,-43.21913,Private room,435,1,1,2017-02-28,0.02,1,0
6835820,Copacabana Studio Perfeito!,35376374,Pedro,Copacabana,-22.97532,-43.18885,Entire home/apt,419,2,77,2020-10-12,1.2,1,340
6843088,House facing Copacabana beach,35858223,Romero Justino,Copacabana,-22.9788,-43.18956,Entire home/apt,500,2,56,2020-11-04,0.86,1,348
6844257,casa com terraço no Corcovado,10491771,Camila,Cosme Velho,-22.941489999999998,-43.200140000000005,Entire home/apt,360,4,6,2019-10-06,0.1,1,365
6851867,Quarto e sala em Copa,8156211,Giovanna,Copacabana,-22.980539999999998,-43.190940000000005,Entire home/apt,237,5,1,2019-10-07,0.07,9,365
6862473,Best of Rio,31032702,Eurico,Copacabana,-22.98123,-43.19605,Entire home/apt,388,5,10,2020-02-25,0.17,1,179
6863623,Ótima Localização em Copacabana!,122711622,Cica,Copacabana,-22.97237,-43.1842,Entire home/apt,998,5,2,2016-01-29,0.03,1,364
6874053,Perfect  entire apartment in Vidigal Guest House,35283407,Vidigal  Guest House,Vidigal,-22.99576,-43.2445,Private room,78,1,22,2020-02-10,0.44,2,331
6877903,Apartameto copacabana  perfeito para 2 pessoas,4438776,Elisabete Santos,Copacabana,-22.97908,-43.19273,Entire home/apt,1200,3,1,2019-07-21,0.06,11,365
6881900,Copacabana - Conforto e segurança  2 quadras praia,36058571,Veronica,Copacabana,-22.974970000000003,-43.189679999999996,Entire home/apt,643,2,18,2020-01-25,0.28,1,361
6895542,Olympic Games 2016/Olimpíadas 2016p,13387854,Paulo,Pilares,-22.87594,-43.29307,Private room,65,3,3,2016-08-20,0.05,1,363
6900763,Praticamente na Praia!,5737780,Fabi,Copacabana,-22.96925,-43.18206,Entire home/apt,354,3,13,2020-03-10,0.21,15,67
6901513,SUPER COZY FLAT ONE BLOCK FROM The BEACH,36166628,Genilza,Copacabana,-22.97394,-43.18776,Entire home/apt,189,2,305,2020-12-17,4.6,1,7
6902087,The best penthouse! Discount rates!,15314047,Maria Da Penha,Botafogo,-22.948829999999997,-43.1815,Entire home/apt,1480,4,91,2020-12-06,1.52,1,160
6902646,Charming studio near the beach - Copacabana/Leme.,36174304,Tobias,Leme,-22.964000000000002,-43.17218,Entire home/apt,419,2,11,2020-01-04,0.21,1,352
6908006,LEBLON - 3 quartos 3 banheiros e 2 garagens,25067261,Emma,Leblon,-22.98171,-43.22152,Entire home/apt,921,3,19,2020-10-19,0.3,18,0
6911391,Apartamento Studio Praia Copacabana,36216533,Rafael,Copacabana,-22.97658,-43.19377,Entire home/apt,250,1,3,2019-03-07,0.05,1,356
6922924,QUARTO PEQUENO/PARA JOVENS,32368346,Maria,Copacabana,-22.973129999999998,-43.18851,Private room,120,2,15,2019-03-06,0.23,3,354
6931497,GREAT LOCATION - COPACABANA - NEAR BEACH & SUBWAY,22296412,J Renato,Copacabana,-22.97279,-43.1884,Entire home/apt,184,14,73,2020-12-15,1.21,4,5
6938002,Simple Bedroom,35385742,Andrei,Botafogo,-22.95209,-43.17505,Private room,150,2,104,2020-03-06,1.66,2,353
6948080,Apartamento novo por temporada.,11861303,Carlos Alberto,Jacarepaguá,-22.96461,-43.40445,Entire home/apt,415,1,4,2019-10-05,0.06,1,363
6950530,AMAZING ROOM BEST NEIGHBORHOOD RIO,17958060,Claudio,Urca,-22.94781,-43.16332,Private room,776,5,1,2016-08-22,0.02,1,363
6964919,"Room with balcony, Metro and Copacabana Beach",36518818,Emaise,Copacabana,-22.97779,-43.19229,Private room,163,1,50,2020-03-22,0.93,3,267
6977370,One bedroom penthouse,36587664,Magda,Ipanema,-22.983420000000002,-43.2042,Entire home/apt,580,5,1,2020-01-06,0.08,2,232
6985693,A casa e o meu xordo.,36625673,Waldir,Recreio dos Bandeirantes,-23.02967,-43.47977,Entire home/apt,975,1,14,2020-11-23,0.24,1,355
6990489,"Great Flat cozy & well furnished, near everything",106726915,Flavia,Flamengo,-22.934479999999997,-43.17731,Entire home/apt,185,2,29,2020-11-23,0.46,2,258
6991043,Apartamento Claro e Aconchegante,15009264,Thalita,Méier,-22.90735,-43.27728,Entire home/apt,120,14,6,2020-05-26,0.09,2,302
7019717,Charming Suite in Historic House,30209018,Ana,Santa Teresa,-22.91874,-43.19008,Private room,250,3,8,2020-03-01,0.15,3,206
